"adj. 值得的； 有…的价值； 等值的； 有…的财产
n. 财富，财产； 价",那个贼顺着马路逃跑，我就拼命紧追不舍。,这栋房子值很多钱。,任何值得做的事就值得做好。,,,,,,,,,
,,,,,,,,,,,,
rebuild,The house was rebuilt after the fire.,"Jones used to be a thief, but now he's seen the error of his ways and is trying to rebuild his life.",Plans have been put forward to pull down and rebuild the area.,,,,,,,,,
v. 重建，改建，使复原,这所房子是在大火后重建的。,"琼斯过去是小偷, 但是现已知过能改重新做人.",已提出计划，要把这个地区的房屋推掉重建。,,,,,,,,,
,,,,,,,,,,,,
local,I suggest that he put an advertisement in the local paper.,He provided local delicacies for his guests' meal.,Football fever gripped the town when the local team reached the cup final.,,,,,,,,,
"adj. 地方性的,当地的,局部的",我建议他在当地的报纸上登条广告。,他用当地的美味佳肴来招待客人。,在当地的足球队打进了优胜杯的决赛圈后，全市掀起一阵足球热。,,,,,,,,,
,,,,,,,,,,,,
apart,He took the watch apart to repair it.,He took my essay apart but I found his criticism helpful.,The two villages are three miles apart.,,,,,,,,,
"adv. 分别地,分开地，有区别地
adj. 分开的，分离的",他把手表拆开来修理。,他把我的文章狠狠地批评了一顿，但我认为他的批评有好处,这两个村子相距三英里。,,,,,,,,,
,,,,,,,,,,,,
take apart,"When the clock stopped, he took it apart, found what was wrong, and put the whole thing together again.","How dare you take apart my letter?
                                                        
                                                    ","The boy took apart the toy car, but couldn't put it together again.",,,,,,,,,
" 拆卸, 拆开",当钟不走时，他把它拆了，找出毛病所在，然后再组装起来。,你怎么敢拆开我的信？,"男孩把玩具汽车拆开了, 可怎么也安不上了。",,,,,,,,,
,,,,,,,,,,,,
painting,"The painting took his fancy, so he bought it.",Looking at a beautiful painting always gives one satisfaction.,The painting was knocked down (to an American dealer) for 5000.,,,,,,,,,
"n. 水彩画,油画",这幅画被他看中了，所以他就把他买了下来。,观赏一幅美丽的图画使人心满意足。,那幅画拍卖时以5000英镑售出（给一个美国商人）.,,,,,,,,,
,,,,,,,,,,,,
castle,The earl lives in a castle.,Visitors to the castle are asked not to take photographs.,A spirit haunts the castle.,,,,,,,,,
"n. 城堡
vt. 置于城堡中,(棋)移动王车易位
vi. (棋)移动王车易位",伯爵住在一座古堡里。,来城堡参观者不得拍照。,幽灵常出没于古堡。,,,,,,,,,
,,,,,,,,,,,,
trial,Her child is a trial to his teachers.,He's on trial for his life.,The new aircraft has performed very well in its initial trials.,,,,,,,,,
"n. 试验； [法]审讯，审判； 磨难，困难； [体]选拔赛
adj. 试验的； [法]审讯的",她的孩子让老师很伤脑筋。,他正在受决定他生死的审判，,这种新式飞机在最初几次试飞中表现性能良好。,,,,,,,,,
,,,,,,,,,,,,
eyewitness,"Too many people become this movement's eyewitness
                                                        
                                                    ","Just one eyewitness's account has come down to us
                                                        
                                                    ",An authentic account by an eyewitness.,,,,,,,,,
"n. 目击者, 见证人",许多人成为了这一事件的见证人,只有一位目击者留下的叙述使我们得知当时的情景,一份目击者的真实证言,,,,,,,,,
,,,,,,,,,,,,
evidence,On the evidence of their recent matches it's unlikely the Spanish team will win the cup.,There wasn't enough evidence to prove his guilt.,"When the ship reached port, it bore abundant evidence of the severity of the storm.",,,,,,,,,
"n. 根据, 证据
vt./vi. 证实, 证明",从西班牙队最近的比赛情况来看，他们难以在这一锦标赛中夺标。,没有充分的证据能证明他有罪。,船抵港时，船上满是受到暴风雨肆虐的痕迹。,,,,,,,,,
,,,,,,,,,,,,
explode,"I'm about to explode!
                                                        
                                                    ",The bomb was timed to explode during the rush-hour.,When the boiler exploded many people were injured.,,,,,,,,,
"vt. 爆炸,驳倒
vi. 爆炸,爆发(感情)，激增",我肺都快要气炸了！,炸弹选在人最多时爆炸.,因锅炉爆炸，许多人受了伤。,,,,,,,,,
,,,,,,,,,,,,
entrance,There is an entrance of concealment just around the corner.,The children watched entranced as the circus animals performed.,I'll meet you at the entrance of the zoo tomorrow.,,,,,,,,,
"n. 入口
v. 使出神,使入迷
vt. 使出神",拐角处有个隐蔽入口。,马戏团的动物们表演时，孩子们都看得入神。,明天我会在动物园的入口处和你见面。,,,,,,,,,
,,,,,,,,,,,,
sailor,"My father was a sailor and I'm going to be one, too.",I'm no sailor and I couldn't wait to reach dry land.,The sailor suddenly saw a pirate jumping onto the deck.,,,,,,,,,
"n. 海员, 水手，扁平的硬边草帽",我父亲（以前）是水手，我也打算当水手。,"我晕船, 恨不得立刻上岸.",那水手忽然看到一名海盗跳上了甲板。,,,,,,,,,
,,,,,,,,,,,,
sink,The ship sank.,Rub the cream on your skin and let it sink in.,My feet sank into the mud.,,,,,,,,,
"n. 接收端,沟渠,污水槽,散热器
vi. 下沉,下落,陷于,倾斜,恶化,渗透
vt. 下沉,陷于,倾斜,减少",船沉没。,把这种软膏搽在皮肤上，让它渗进去。,我的双脚陷到泥里去了。,,,,,,,,,
,,,,,,,,,,,,
maid,Her maid helped her to dress up for the party.,Her maid helped her to dress for the ball.,I'll send the maid round to carry it to your house.,,,,,,,,,
"n. 女仆, 侍女",她的女仆帮助她打扮参加晚会。,她的女仆帮她穿上参加舞会的晚礼服.,我将派女仆把它送到你家去。,,,,,,,,,
,,,,,,,,,,,,
Berlin,Passengers should check in for flight BA 125 to Berlin.,We made a journey from Paris to Berlin.,"we made a journey from pairs to berlin
                                                        
                                                    ",,,,,,,,,
n. 柏林,去柏林的英航125航班旅客请办理登机手续.,我们从巴黎到柏林旅行了一圈。,我们从巴黎到柏林旅行了一圈。,,,,,,,,,
,,,,,,,,,,,,
think highly of,They think highly of him.,People should not think highly of themselves.,We think highly of him because he is the man of his word.,,,,,,,,,
 尊重，对 ... 高度评价,他们很敬重他。,人们不应该自视太高。,我们很瞧得起他，因为他言而有信。,,,,,,,,,
,,,,,,,,,,,,
informal,"I meant it to be an informal discussion, but it didn't turn out as I intended (it should).",It is only an informal gathering.,an informal agreement.,,,,,,,,,
"adj. 非正式的,不拘形式的","我本想随便商量一下, 结果事与愿违.",这只是个非正式的集会。,一项非正式决议,,,,,,,,,
,,,,,,,,,,,,
debate,Her resignation caused much public debate.,"He debated buying a new car, but didn't in the end.","After a long debate, the house of commons approved the bill.",,,,,,,,,
"n. 辩论,讨论
vt. 争论,思考
vi. 商讨,辩论",她辞职一事引起群众议论纷纷。,他思量很久是否买辆新汽车，但最後还是没买。,经过长时间的辩论，下议院通过了议案。,,,,,,,,,
,,,,,,,,,,,,
Unit,Cubit is an ancient unit of length.,This textbook has twenty units.,There's a rumour floating around of a new job in the unit.,,,,,,,,,
"n. 单位, 单元",腕尺是古代的一种长度单位。,这本课本有二十单元。,这个部门盛传有个新工作要聘人.,,,,,,,,,
,,,,,,,,,,,,
ancient,This is an ancient parable.,Soldiers in ancient time used spears to fight.,It's an ancient tale which appears in various guises in several languages.,,,,,,,,,
"adj. 古代的,古老的
n. 古人, 古货币",这是一个古老的寓言。,古代的士兵用矛作战。,那是一个以几种语言叙述的古老的故事。,,,,,,,,,
,,,,,,,,,,,,
compete,Here was a car priced to compete with the small imports.,Companies must be able to compete in the marketplace.,We have limited funds and several competing claims.,,,,,,,,,
"v. 竞争, 对抗",这部车的定价可与进口的小车竞争。,公司一定要在市场中有竞争力。,我们的基金有限而争相申请的却有几处。,,,,,,,,,
,,,,,,,,,,,,
competitor,The Japanese can beat any competitor in the market.,He girded up his loin to face his competitor.,That company became our lone competitor in the field.,,,,,,,,,
"n. 竞争者,对手",日本人比谁都会搞市场推销.,他做好准备来迎战他的对手。,那家公司成了我们在这个领域唯一的竞争对手。,,,,,,,,,
,,,,,,,,,,,,
take part in,In early days only male athletes were allowed to take part in the Olympic Games.,Let's take part in the triumphal chorus.,"We all had to take part in the training run, with nobody excepted.",,,,,,,,,
 参加,"在奥林匹克运动会早期, 只有男性运动员才能参加比赛。",让我们去参加凯歌大合唱吧。,"我们大家都得参加跑步训练, 无人例外.",,,,,,,,,
,,,,,,,,,,,,
medal,He got a medal for bravery.,She was awarded a medal for bravery.,I have a monumental brass medal.,,,,,,,,,
"n. 奖章,勋章,纪念章
vi. 获得奖章",他因勇敢而获得一枚奖章.,她因勇敢而获得奖章.,我有一枚有纪念意义的铜牌。,,,,,,,,,
,,,,,,,,,,,,
stand for,I won't stand for this insolence.,I won't stand for his insults any longer.,"What dose &quot;ISO&quot; stand for?
                                                        
                                                    ",,,,,,,,,
phrase. 代表，意思是；支持，主张；容忍（常用于否定）,我决不容忍这种傲慢无礼的行为.,我再不能容忍他的污辱了。,&quot;ISO&quot;代表什么意思？,,,,,,,,,
,,,,,,,,,,,,
mascot,The regimental mascot is a goat.,His little son is the mascot for the local football team.,"Expo Mascot
                                                        
                                                    ",,,,,,,,,
"n. 福神, 吉祥的东西",这个团的吉祥物是山羊.,他的小儿子是当地足球队的吉祥人物。,世博会吉祥物,,,,,,,,,
,,,,,,,,,,,,
Greece,This book gives you some idea/a good idea of life in ancient Greece.,Greece is the home of democracy.,"I wanted to go to Greece, and my wife wanted to go to Spain, so we compromised on Italy.",,,,,,,,,
n. 希腊,这本书可以使你对古希腊人的生活有一些认识[有深入的了解].,希腊是民主的发祥地.,"我想去希腊, 可我妻子想去西班牙, 於是我们折衷了一下, 去意大利.",,,,,,,,,
,,,,,,,,,,,,
Greek,There are many perpendicular marble columns in Greek temples.,A satyr is half man and half goat in Greek and Roman mythology.,Many Greek cities had to send yearly tribute to Athens.,,,,,,,,,
"adj. 希腊(人)的
n. 希腊人,希腊语",希腊庙宇有很多垂直的大理石柱。,在希腊和罗马神话中，森林之神是半人半羊的样子。,许多希腊城市不得不每年向雅典进贡。,,,,,,,,,
,,,,,,,,,,,,
magical,Giving up smoking had a magical effect on his stamina.,I used to believe my mother had magical powers.,We can see a magical view over the calm water of the bay from our window.,,,,,,,,,
adj. 魔术的，有魔力的，神奇的,戒烟神奇地增强了他的体力.,我以前一直相信我母亲有奇妙的魔力.,从我们的窗户里可以看到海湾里平静海水的迷人景色。,,,,,,,,,
"n. 志愿者,自行生长的植物
adj. 志愿的,自行生长的(树等)
vt./vi. 自愿(做)",他自动向警方供出情况。,许多退休人员在社区服务或育婴中心做义务工作,那个战士自告奋勇去站岗。,,,,,,,,,
,,,,,,,,,,,,
homeland,They were pining for their homeland in Asia.,The overseas are very glad to set foot on their homeland.,"Steadfast in allegiance to one's homeland, government, or sovereign.",,,,,,,,,
n. 祖国,他们思念着在亚洲的故乡。,华侨们非常高兴地踏上祖国的土地。,忠心的对自己的祖国，政府或主权无限忠诚的,,,,,,,,,
,,,,,,,,,,,,
regular,His pulse is not very regular.,I am a regular reader of this newspaper.,He has very regular features.,,,,,,,,,
"adj. 有规律的,有规则的,整齐的,正规的",他的脉搏不很规则。,我是这份报纸的长期读者。,他五官端正。,,,,,,,,,
,,,,,,,,,,,,
basis,"According to conventional wisdom, voters usually make their choice on the basis of domestic issues.",His research formed the basis of his new book.,Payments can be evened out on a monthly basis over the year.,,,,,,,,,
"n. 基础,根据,主要成分",按一般人在这些问题上的看法，选民常常着眼于国内问题来选择候选人。,他的研究成果是他这本新书的基础。,全部款项可以在一年中按月平均交纳.,,,,,,,,,
,,,,,,,,,,,,
athlete,Mark Spitz was a great athlete.,This athlete has a powerful frame.,We are undoubted her talent as an athlete.,,,,,,,,,
n. 运动员,马克·斯皮茨是一名伟大的运动员。,这位运动员有着魁梧的体格。,我们从不置疑她作为一个运动员的天赋。,,,,,,,,,
,,,,,,,,,,,,
admit,His conduct admits of no excuse.,"I must admit, it's more difficult than I thought it would be.",This sentence admits of several interpretations.,,,,,,,,,
"vt./vi. 许可进入； 承认，供认
vt. 允许； 确认
vi. 承认； 允许",他的行为无可宽恕。,我必须承认，这比我想象的要困难得多。,这个句子可以有多种解释。,,,,,,,,,
,,,,,,,,,,,,
slave,This slave dreamed of becoming a freeman.,The boy was caught and sold to be a galley slave.,The slave has never experienced the sweetness of freedom.,,,,,,,,,
"n. 奴隶, 完全受控制的人, 劳工, 从动装置
vt. 对另一种装置作出直接回应
vi. 拼命工作, 贩卖奴隶",这个奴隶梦想着成为一个自由人。,这个男孩被抓住，并被卖到战舰上做奴隶。,这个奴隶从未体验过自由的快乐。,,,,,,,,,
,,,,,,,,,,,,
nowadays,Nowadays we rely increasingly on computers for help/to help us.,Lasers can be used to perform operations nowadays.,Nowadays people travel in cars rather than carriages.,,,,,,,,,
"adv. 现今,现在
n. 现今,当今",现今人们越来越依赖计算机协助工作.,现在激光可以用来做手术。,现今人们旅行都坐汽车，而不使用马车。,,,,,,,,,
,,,,,,,,,,,,
gymnastics,The sport of gymnastics is popular in our country.,"As a cricketer, gymnastics is out of his domain.",The Russians made a clean sweep of (the medals in) the gymnastics events.,,,,,,,,,
n./adj. 体操,体操运动在我国很流行。,"他是个板球运动员, 体操非其所长.",俄罗斯运动员囊括体操项目奖牌.,,,,,,,,,
,,,,,,,,,,,,
athletics,Sarah is very keen on athletics and can trot out the names of all the leading runners and their record times.,She showed us the athletics awards she had won.,Runners in an athletics stadium run in individual lanes.,,,,,,,,,
n. 体育运动，田径,萨拉非常爱好体育运动，能说出所有最主要的赛跑者的姓名和他们的最佳成绩。,她给我们看她赢得的体育运动奖.,在田径运动场上赛跑的人有各自的跑道。,,,,,,,,,
,,,,,,,,,,,,
stadium,The crowds drifted away from the stadium.,The takings at the football stadium has fallen off.,Supporters crowded through the gates into the stadium.,,,,,,,,,
"n. 露天体育场,竞技场",人群慢慢从体育场散去.,足球运动场的收入减少了。,"来捧场的人挤过大门, 涌入运动场.",,,,,,,,,
,,,,,,,,,,,,
as well,I write my own songs and I play the guitar as well.,Are you traveling to Liverpool as well? We can go together.,"I like gir and i like boy as well
                                                        
                                                    ",,,,,,,,,
" 也, 又",我唱自己谱曲的歌，也弹吉他。,你也去利物浦 吗 ?我们可以同行.,我喜欢女孩也喜欢男孩,,,,,,,,,
,,,,,,,,,,,,
host,"At the end of the party, we thanked our host and went away.",the city chosen as host for the Olympic games.,"Which country will be the host country for the next Olympic Games?
                                                        
                                                    ",,,,,,,,,
"n. [计算机]主机； 主人，东道主； 节目主持人； 酒店业主
vt. 当主人； 主办宴会，主持节目； 款待，做东
vi. 做主人，做东道主",宴会结束时，我们谢了主人后便回家去了。,这个城市被选为举办奥运会的主办国,哪个国家将是下届奥运会的主办国？,,,,,,,,,
,,,,,,,,,,,,
responsibility,The captain is absolved from all blame and responsibility for the shipwreck.,You can't retreat from the responsibility in this affair.,The prescription of drugs is a doctor's responsibility.,,,,,,,,,
"n. 责任, 可信度，责任心",那位船长被免除了因船只失事而遭致的非难和罪责。,你不能回避在这一事件中的责任。,开药方是医生的职责。,,,,,,,,,
,,,,,,,,,,,,
olive,The olive leaf is a badge of peace.,"Have you eaten a kind of fruit called olive?
                                                        
                                                    ",Army uniforms are often olive green.,,,,,,,,,
"n. 橄榄, 橄榄树, 橄榄色
adj. 黄绿色的, 黄褐色的, 橄榄色的",橄榄叶是和平的象征。,你吃过橄榄这种水果 吗 ?,军装常是橄榄色的.,,,,,,,,,
,,,,,,,,,,,,
wreath,a wreath of smoke.,A group of student placed a wreath at the tomb of the national hero.,The Queen pain homage to the victims of two world wars by laying a wreath on the Cenotaph.,,,,,,,,,
"n. 花环, 花圈",烟圈,一群学生在那位民族英雄墓前献上花圈。,女王向纪念碑了献花圈，以此向两次世界大战这中的牺牲者们表示敬意。,,,,,,,,,
,,,,,,,,,,,,
replace,We've replaced the old machine with a computer.,He replaced the book in the shelf.,Electric lights have replaced candles.,,,,,,,,,
"vt. 取代,更换",我们用电脑取代了老式的机器。,他把书放回到书架上。,电灯已经取代了蜡烛。,,,,,,,,,
,,,,,,,,,,,,
motto,"I often win money at cards but never save a penny `easy come, easy go' is my motto.",&quot;Think before you act&quot; is my motto.,&quot;Stay true to yourself&quot; has always been his motto.,,,,,,,,,
"n. 座右铭,箴言","我玩纸牌经常赢, 可一分钱也存不住--我的俗话是｀来得容易, 去得快＇.",“三思而后行”是我的座右铭。,“忠于自己”一直是他的座右铭。,,,,,,,,,
,,,,,,,,,,,,
swift,a swift retort.,With the failure of the peace talks all hopes of a swift end to the war have flown out of the window.,swift to take steps.,,,,,,,,,
"adj. 快的,迅速的
adv. 快速地
n. 雨燕,线轴",立即的反驳,"和谈失败後, 迅速结束战争的希望都已化为乌有.",快速采取措施,,,,,,,,,
,,,,,,,,,,,,
similarity,There was a wonderful similarity between the twins.,a similarity of writing styles.,There were points of similarity between them.,,,,,,,,,
"n. 相似, 类似",这对孪生儿相像得惊人.,写作风格的相似之处,他们之间有某些相似之处.,,,,,,,,,
,,,,,,,,,,,,
Athens,Many tourists visit the Acropolis in Athens.,Athens is a city of great antiquity.,The Acropolis dominates the city of Athens.,,,,,,,,,
n. 雅典(希腊首都),有很多游客参观雅典的卫城.,雅典是一座古城.,雅典的卫城高耸於雅典全城之上.,,,,,,,,,
,,,,,,,,,,,,
charge,He became his uncle's charge after his parents died.,As long as you've paid in advance we won't charge you for delivery.,Charged him with the task of watching the young swimmers.,,,,,,,,,
