"prep. 为了","","他点燃一支香烟，镇定一下情绪。","为赢得胜利,我们进行了数十次战斗.","她自己省着吃，好让孩子们吃饱。","为了通过考试你应该努力学习","为了改变对于招聘女性的态度，政府正在制定新的法律。","他为了大房子而努力工作"

"dusk","","We made a landfall at dusk after three weeks at sea.","It seems probable that he will arrive before dusk.","The trackmen work very hard from morning till dusk.","dusk be make people feel warm.","The setting sun has boundless beauty; Just because the yellow dusk is so near
                                                        
                                                    ","A bus took him to the West End, where, among the crazy coloured fountains of illumination, shattering the blue dusk with green and crimson fire, he found the cafe of his choice; a tea-shop that had gone mad and turned Babylonian, a white palace with ten thousand lights."
"n. 黄昏,薄暮
vi. (天)变黑,变暗
vt. 把…变黑变暗
adj. 颜色暗沉的,昏暗的","","在海上航行三周後的一个黄昏, 我们看到了陆地.","他似乎有可能黄昏前到达.","巡道工人披星戴月地执行任务.","夕阳让人感到温暖","夕阳无限好，只是近黄昏","一辆巴士载着他来到伦敦西区, 颜色夸张的喷泉灯光用绿色和绯红的火焰把薄暮击成粉碎, 在那里, 他找到了他首选的咖啡馆; 那是一个疯狂奢华的巴比伦式的茶馆, 一座灯火辉煌的白色宫殿."

"at dusk","","We made a landfall at dusk after three weeks at sea.","The street lights come on at dusk and go off at dawn.","The lights go on at dusk.","At dusk, some birds go home.","I get home at dusk to do my homework."
" 黄昏时刻","","在海上航行三周後的一个黄昏，我们看到了陆地。","路灯在黄昏时开，拂晓时关。","一到黄昏灯就亮了。","黄昏时刻，一些鸟儿回家了。
","我在黄昏到家做我的作业"

"thunder ","","The thunder rumbled in the distance.","&quot;Get out!&quot; he thundered.","We could hear the thunder of distant guns.","I hate thunder
                                                        
                                                    ","After a loud crash of thunder, the heavy drop of rain started.","he thundered against the evils of television
                                                        
                                                    "
"n. 雷电,雷声
vt./vi. 打雷,轰隆地响,大声喊出","","远处雷声隆隆。","“滚出去！”他大声吼到。","我们可以听到远处炮声隆隆。","我讨厌雷声","当时雷声大作, 大滴大滴的雨点开始落下来。","他大声谴责电视的种种坏处"

"entire","","The entire population was wiped out by the terrible disease.","I read the entire book.","The entire content of a book will be located on a single silicon chip.","The entire reason
                                                        
                                                    ","The entire reason to take on this rather large innovation was to do something meaningful.","He had spent his entire life in China as a doctor."
"adj. 全部的,完整的，同性质的，纯正的，全面的","","所有的居民都被可怕的疾病夺去了生命。","我阅读了全书","整本书的内容只用一片硅芯片就可以装下。","全部的原因","实行这项改革的全部原因是为了做一些有意义的事情。","

他整个一生都在中国做医生。"

"entirely","","His success is entirely due to hard work.","The two brothers have entirely different temperaments.","He lived a life devoted entirely to sensual pleasure.","The company is run almost entirely by middle-aged men.","an entirely rigid system is impractical
                                                        
                                                    ","All in all, the teaching of academic subjects in schools is entirely appropriately."
"adv. 完全地","","他的成功完全是努力工作的结果。","他们兄弟俩的性情完全不同。","他一生耽于肉欲。","adverb B2 completely","一套完全死板的体制是不实际的","总而言之，学术科目在学校的教学是完全合适的。"

"power","","The powers of the police need to be clearly defined.","Sitting out here, you really can feel the power of the sun.","her powers of concentration.","the western power
                                                        
                                                    ","power
                                                        
                                                    ","The president has the power to veto bills."
"n. 力量, 权力，电力
vt. 供电，激励，全速前进
adj. 与力量有关的，与权力有关的，电力控制的","","必须对警方的权限作出明确的规定。","坐在这里，你可以感到太阳的力量。","他集中注意力的能力","西方列强""face to face","","Face to face, the truth comes out.","The two rival politicians came face to face in a TV interview.","The burglar turned the corner and found himself face to face with a policeman.","in one’s face当着某人的面; face up to 大胆面向
                                                        
                                                    ","Ever since then I've been longing to meet him face to face.","I sat face to face with her."
" 面对面地","","【谚】面对面，真相白。","那两个对立的政客面对面地一起接受电视访问.","盗贼一拐弯面对面地碰上个警察.","。。。","从那时起, 我一直渴望和他面对面地聚会。","我和她面对面坐着。"

"curtain","","She twitched the curtain into place.","The curtain was suddenly drawn and a bright light shone in.","The castle was hidden behind a curtain of smoke.","I bought some material to curtain the house.","Please draw the curtains.","I'd only read about three pages,though,when I heard somebody coming through the shower curtains."
"n. 窗帘,遮蔽物,幕
vt. 用窗帘装饰,遮蔽","","她猛地拉好窗帘。","突然窗帘拉了开来，一道强光照了进来。","城堡被一层烟雾遮掩着。","我买了一些布料给房子安装窗帘。","请把窗帘拉上。","我还只看了三页，就听见有人掀开淋浴室的门帘走来。"

"dusty","","My eye alighted on a dusty old book at the back of the shelf.","The dusty road made the travelers dusty too.","the dusty precepts of a bygone era.","He spent his weekends poking around dusty old bookshops.","As we bumped over the dusty track, we swerved to avoid large boulders.","When you call something dusty, it's either literally covered in dust, or so old and unoriginal that it might as well be."
"adj. 满是灰尘的","","我偶然发现在书架後面有一本满是灰尘的旧书.","满是尘土的路弄得行人也满面尘土了。","过去时代的枯燥戒律"," 他周末都泡在布满尘埃的旧书店里。 
","我们在尘士飞扬的道路上颠簸，车子东拐西弯，以躲开那些大圆石。(L39-07)","You can use a feather duster to clean off dusty surfaces, but if something is a dusty color, that just means it&#39;s got a grayish tint to it, like dusty pink or dusty blue. If something has been around for a really long time and it&#39;s worn-out, stale, or unoriginal, you can also call it dusty. If you&#39;re a stand up comedian whose been working the same act for thirty years, chances are your jokes are getting a little dusty."

"no longer","","These conditions no longer obtain.","We are a people no longer subject to foreign rule.","The choice is no longer in their disposition.","I need a loan no longer.","I will no longer be the sad little girl who  lost her parents.","You are no longer a mere child."
" 不再","","这些条件已不复存在了。","我们是一个不再受外国统治的民族。","选择权已不在他们手中了。","我不需要贷款了。","我将不再是那个痛失双亲的可怜的小女孩。","你不再只是一个孩子了。"

"not any longer","","I am not any longer tolerant.","He could not stay any longer .","She does not work here any longer.","Can not you stay any longer?  
 
                                                        
                                                    "
" 不再","","我无法再容忍了。"," 他再也坚持不下去了。 
"," ","再玩一会好吗？ 
"

"partner","","It's your call, partner.","He has a practical partner who organizes everything for him.","He was done away with by his partner.","their trumpeting partners.","retell the story to your partner。
                                                        
                                                    ","Compare them with your partner."
"n. 合作者,搭档,配偶
vt./vi. 同...合作,做...的搭档, 合作","","伙伴, 该你叫牌了.","他有个很能干的伙伴，替他把一切弄得井井有条。","他被他的同伙杀死。","他们吹喇叭的合作伙伴。","向你的搭档重述这个事情。","和你的搭档进行比较。"

"settle","","The thunderstorm may settle the weather.","They moved the local people and settle them in another place.","If you pay for both of us now, we can settle up later.","We settled in this village last year .","settle a problem
                                                        
                                                    ","i will settle in shanghai ,when i was work in shanghai
                                                        
                                                    "
"vt. 安放,安顿,解决,决定,付清(欠款)
vi. 定居,降落
n. 长背的凳子","","这场雷暴过後天气可能反而好些。","他们把当地人迁移到别处定居。","你要是现在先付清咱们两人的帐，事后咱们俩再细算。","我们去年在这个村庄定居","解决问题","当我在上海工作时我会定居在那"

"suffer","","How can you suffer such insolence?
                                                        
                                                    ","She couldn't suffer criticism.","They suffered huge losses in the financial crisis.","He suffered from poverty all his life.","He suffered the humiliation of being forced to resign.","We are suffering a great problem
                                                        
                                                    "
"vt. 遭受,忍受,允许
vi. 忍受，经历；受痛苦；受损害","","你怎么能容忍这种蛮横的态度？","她受不了批评。","他们在经济危机时遭受了巨大的损失。","他一生受贫穷之苦。","他蒙受了被迫辞职的羞辱。","我们面临着很大的困难"

"suffer from","","Do you suffer from (ie often have) headaches?
                                                        
                                                    ","We suffer from too much officialdom.","Most of the important cities of the world suffer from traffic jam.","Children suffer from lots of disease
                                                        
                                                    ","My dad suffers from high blood pressure.","* Heather has suffered from terrible headaches ever since the car crash."
"vt. 遭受(因...而蒙受损害)","","你常头痛吗?","我们深受官僚作风之害.","世界上大多数大城市都交通堵塞为患。","儿童得了很多疾病。","我爸爸患有高血压。","* Heather has suffered from terrible headaches ever since the car crash."

"loneliness","","This famous explorer finally died in loneliness.","Loneliness almost drive her mad.","He envisaged an old age of loneliness and poverty.","Wearied by his own loneliness back in coeur d'coeurs and sensinhis master's sorrow, 

digby Set out on a mission.","Loneliness can be contagious."
"n. 孤独, 寂寞","","这位著名的探险家最后在孤寂中死去。","孤独几乎使她发疯了。","他面对着一个孤独而贫困的晚年.","他早已厌倦了在Coeur D&#39;coeurs的孤单日子 并体验到小主人的悲伤 ， Digby 开始行动了
","寂寞是可以传染的"

"highway","","The motel business went to pot when the new highway was built.","He was charged with obstructing the highway.","The city built a pedestrian overpass over the highway.","The motel business went to pot when the new highway was built.","The highway runs parallel with the railway.","Rivers are generally highways that speed trade and communication."
"n. 公路","","这条新公路建成后，汽车旅馆的生意冷落了下来。","他因阻碍公路交通而受控告.","城里在公路上建了一座过街天桥.","这条新公路建成后，汽车旅馆的生意冷落下来。","这条公路与那条铁路平行。","河流通常是促进贸易和运输的通道。"

"recover","","He's now fully recovered from his stroke.","He is very ill and unlikely to recover.","The police recovered the stolen jewellery.","after war, the country will take a long time to recover
                                                        
                                                    ","the police recovered the stolen jewellery
                                                        
                                                    ","he recovered well
                                                        
                                                    "
"vt. 恢复； 重新获得； 找回； &lt;正&gt;恢复（适当的状态或位置）
vi. 恢复健康（体力、能力等）
n. 恢复开始时姿势","","他现已从中风病完全康复了。","他病得非常厉害，不大可能恢复健康了。","警察找回了被盗的珠宝。","战后，这个国家将花费很长时间才能恢复","警察追回了失窃的珍宝","他恢复的不错"

"be tired of","","He was tired of running errands for his sister.","We were tired of being pushed around by officious civil servants.","I am tired of sleeping on the floor
                                                        
                                                    ","I am so tired of hackers.","I am tired of studying english
                                                        
                                                    "
" 厌倦，不耐烦","","他已厌烦给姐姐当跑腿了.","我们厌烦那些官老爷把我们支来支去。","讨厌睡在地板上","我讨厌黑客。","我对学习英语感到厌烦"

"pack","","The wind packed the snow against the wall.","The bus was packed with noisy schoolchildren.","He was told to pack his bags.","A pack of wolves went ravening about in the forest.","Pack your books together.","He packed his clothes into a trunk."
"n. 群；敷料；纸盒；（一起供应的）全套东西
vt. 包装；打包；收拾（行李）；装（箱）
vi. 包装，（用某物）保存，保藏 ,塞进
adj. 包装用的；搬运用的；由驮运牲畜组成的；填满了的","","风把雪吹得堆积在墙边。","这辆公共汽车里挤满了吵吵嚷嚷的小学生。","已经告诉他让他走人。","A pack of wolves went ravening about in the forest.

一群狼在森林中到处觅食。","把你的书捆起来。","他把衣服装进箱内。"

"suitcase","","These clothes won't all pack into one suitcase.","What an idiot I was to leave my suitcase on the train!
                                                        
                                                    ","My clothes won't all go into that tiny suitcase.","it's my suitcase
                                                        
                                                    ","his only possession was a battered old suitcase of clothes
                                                        
                                                    ","The suitcase is fairly heavy."
"n. 手提箱","","这些衣物一个箱子装不下.","我真笨, 竟把手提箱落在火车上了!","那个小衣箱装不下我所有的衣物.","这是我的行李箱","他唯一的财产是被虐的旧衣物箱","这只衣箱相当重。"

"Margot",""
"n. 玛戈特(Margaret 的昵称)(f.)",""

"Overcoat","","That overcoat should see me through the winter.","Do you think you can make over this old overcoat?
                                                        
                                                    ","My overcoat is wet through.","I love the overcoat that him given me .","An overcoat is a thick warm coat that you wear in winter.","Put on your overcoat."
"n. 外套, 大衣","","有那件大衣我应该能过冬了.","你是不是认为你能修改这件旧大衣 呢 ?","我的大衣完全湿透了。","我喜欢他送给我的那件外衣。","N-COUNT 大衣；厚外套","穿上你的大衣。"

"teenager","","The teenager ran away after being punished.","That teenager singer is really dynamite!
                                                        
                                                    ","He is a lanky teenager.","I'll become a teenager one year later.","We will distribute handouts to teenagers who live in poor condition
                                                        
                                                    ","This teenager is very nervous I think 。
                                                        
                                                    "
"n. 13岁到19岁的年轻人","","那个少年在受到惩罚后逃走了.","那个少年歌手真是轰动一时！","他是个瘦削的少年。","一年以后，我将会成为一个13岁的少年。","我们将会向生活在贫困环境中的青少年分发救济品","我觉得这个少年非常害羞，不好意思。"

"get along with","","He is the last person that I'll get along with.","Can you get along with him?
                                                        
                                                    ","Do you get along with your boss?
                                                        
                                                    ","How are you getting along with your English studies?
                                                        
                                                    ","He is sincere and easy to get along with.","Neighbors often get along with each other."
"phrase. 友好相处(和睦相处,取得进展)","","他是我最不愿与之相处的人。","你和他处得来吗？","你跟老板合得来吗?","你的英语学得怎样?","他为人诚恳, 很好相处。","邻居通常和睦相处。"

"gossip","","He's a terrible gossip.","She loves to gossip to her neighbors.","I never talk about gossip.","gossip  gossip gossip
                                                        
                                                    ","he is a gossip who enjoys talking about others' private affairs.","She had a good gossip with a neighbour over the garden fence."
"n. 流言蜚语，闲言碎语，闲话
vi. 散播流言蜚语","","他专爱说人闲话.","她喜欢议论邻居们的是非长短。","我从不传播流言蜚语。","闲聊,随笔 v. 说闲话","他是个喜欢说人是非的八卦男。","她隔着花园篱笆和邻居聊了很久。"

"fall in love","","It is strange that he should fall in love with such a snobbish girl.","The prince fall in love with a fair young maiden.","My father fall in love with a shy girl.","Did you fall in love with her at first sight?
                                                        
                                                    ","You say you don't believe in marriage, but I bet you sing a different song when you finally fall in love."
"vt. 陷入爱河(爱上,喜爱)","","说来真怪，他居然与那位高傲的女孩子坠入情网。","王子爱上了一位美丽的年轻少女。","我的爸爸和一个害羞的女孩陷入爱河。","你对她是不是一见钟情？","你说你认为结婚是无谓的, 但我肯定你最终爱上一个人的时候你就不这麽说了
"

"exactly","","The train arrived at exactly 8 o'clock.","Their answers are exactly the same.","Tell me exactly where he is.","do exactly as you please
                                                        
                                                    ","Exactly.","At exactly that moment, the telephone rang."
"adj. 完全的
adv. 恰好地,正好地,正确地,精确地,正是","","火车八点钟准时到达。","他们的回答完全一样。","确切地告诉我他在什么地方。","完全照你的意思去做吧。","正是在下。","恰恰在此时，电话铃响了。"

"disagree","","She disagrees with him on everything.","In some countries, people who disagree with the government are classed as criminals.","Initially, I disagree with his proposal, but later I changed my mind.","They discussed for a long time,but they disagree with each other at the end.","I disagree with you because I think there are many requirment still not be clearly.","Bill and I often disagree but we'll good friends."
"v. 不一致, 有分歧，不适应，不适宜","","在任何事情上她都与他意见不同。","在某些国家，凡是同政府持有不同意见的人都被视为罪犯。","起初我不同意他的提议，不过后来我改了主意。","他们讨论了很长时间，最终还是没达成统一意见。","我不赞同你是因为我认为还有很多需求没有被明确","比尔和我经常有分歧，但我们仍是好朋友。"

"grateful","","We are grateful to you for your bounteous gifts.","I am heartily grateful to your help.","These refugees are very grateful to the government's succor.","I am grateful to you for your help.","I am heartily grateful to  your help.","Kate gave him a grateful smile."
"adj. 感激的, 感谢的","","对您给予的丰厚礼物，我们不胜感激。","我衷心地感激你的帮助。","这些难民非常感激政府的救援。","我感谢你的帮助.","我衷心地感激你的帮助。","凯特感激地对他笑了笑。"

"dislike","","I took an instant dislike to him.","I do dislike having her extremist ideas rammed down my throat.","If you behave like that, you'll get yourself disliked.","I dislike milk
                                                        
                                                    ","an instant dislike
                                                        
                                                    ","dislike
                                                        
                                                    "
"v. 不喜欢,厌恶
vt./n. 不喜爱,厌恶","","我一见他就不喜欢。","我十分厌恶她强加於我的那些偏激观念。","如果你的行为那样，你会让人厌恶的。","我不喜欢牛奶","完全不喜欢","不喜欢"

"join in","","When one  starts singing, all the others join in.","They pestered her to join in the scheme.","He was too proud to join in our fun.","I am want to join in club。
                                                        
                                                    ","They all join in singing the Christmas carols.","join in
                                                        
                                                    "
" 参加, 加入","","一唱百和.","他们不断要求她参与那计划.","他很高傲, 不屑同我们一起玩儿.","我想加入俱乐部","他们一起唱圣诞颂歌。","加入"

